group,student_id,passed
program_a,1,1
program_a,2,1
program_a,3,0
program_a,4,1
program_a,5,1
program_a,6,1
program_a,7,0
program_a,8,1
program_a,9,1
program_a,10,1
program_a,11,1
program_a,12,0
program_a,13,1
program_a,14,1
program_a,15,1
program_a,16,0
program_a,17,1
program_a,18,1
program_a,19,1
program_a,20,1
program_a,21,1
program_a,22,0
program_a,23,1
program_a,24,1
program_a,25,1
program_a,26,1
program_a,27,1
program_a,28,0
program_a,29,1
program_a,30,1
program_b,31,1
program_b,32,0
program_b,33,1
program_b,34,0
program_b,35,1
program_b,36,0
program_b,37,1
program_b,38,1
program_b,39,0
program_b,40,1
program_b,41,0
program_b,42,1
program_b,43,0
program_b,44,1
program_b,45,0
program_b,46,1
program_b,47,0
program_b,48,1
program_b,49,0
program_b,50,1
program_b,51,1
program_b,52,0
program_b,53,1
program_b,54,0
program_b,55,1
program_b,56,0
program_b,57,1
program_b,58,0
program_b,59,1
program_b,60,0
